MUNI_CODE;Sum of CO2 red
2;11,6
11;6407,55
18;3700
19;69097,92308
21;31863
24;2916
32;6479
34;0
48;52,56
54;18974,94
62;767,4
63;1784,65
66;177,92
67;1490,65
70;88
73;1426
74;280,33
80;1622,65
81;71,43
95;13856,5
96;535,688
104;9994,205977
108;14388,68
120;7999
121;9309,48
122;2484,39
124;399
131;2025,295217
136;560,03
142;178
148;11389,47
155;7133
156;20,5
157;1444,96
159;626,9
160;223,4575052
163;166,78
167;15500
169;306,8500003
172;6179,95
174;3560,51
180;1009,625556
189;0
240;911,6
256;21
264;30523,5474
266;5671,15
269;47764,48
299;0
302;13200
303;236
312;0
316;248560
317;14669
327;103,2
349;17957,1
359;2059
367;192512
374;123125,9
375;71
379;283
380;70926
397;125472,3
415;675,8044923
448;196
449;107,82
452;1306
455;0
476;10380,2
478;6741,775385
488;108998,74
490;0
492;25040
525;2817,68
536;72653,88
548;9880
554;673,4866372
562;7971
569;583,859964
586;50,76
641;0
655;3051,609451
661;5041,819231
683;85,8
684;613,0526551
714;7322
727;4029,32
728;15
733;4537,34628
905;11838,01
933;12580
938;603,9
939;230
942;0
943;53029
945;0
957;21,89
982;15688,687
983;690
1001;2474,7
1004;148,75
1009;1344,09
1018;0,18
1019;0
1039;767,5
1059;7,837065269
1087;19844
1100;0
1157;3890
1263;1055,98
1300;1237
1337;1155,1
1338;2556,085021
1352;262,4652242
1360;90,62
1368;6700,302
1377;2650
1388;163
1391;1759,45
1395;53,57
1404;8,613
1406;49,93
1408;660,458
1418;1200,67
1429;4,73
1455;412,66
1457;1944
1467;4915,207
1537;990
1570;2405,146
1572;318,377
1576;431,654
1641;12
1662;645
1757;1887
1763;2943,042257
1774;0
1797;434,69
1807;63530
1816;180,21
1835;11955
1929;798
1940;136
1941;6817,17
1944;12
1976;0
1979;0
1986;0
1988;0
1989;0
2010;9685,823
2011;2738,47
2084;161,34
2134;1131,467
2174;254,65
2181;466,0968051
2184;3754
2197;85,063
2199;99,8
2201;30651,77978
2211;531,3
2245;14,5
2255;1170,97
2258;934,34
2321;5647,3
2324;590,8
2412;14
2421;506,622
2425;672,22
2518;2865
2532;0
2535;294,65
2568;3954,0682
2608;320,72
2617;329,47
2618;315,82
2621;4648,84
2636;432
2637;808,44
2638;165,1903475
2692;50317
2695;521,7
2763;53,79
2787;2068,3
2826;214,1
2842;715,659933
2896;2185,78
2897;635,86
2962;0
2963;0
2965;0
2967;20,82
2971;0
2972;1149
2973;45,42
2981;1,34
2992;724,5
2997;788,96
3004;2390,163063
3026;1531
3027;0
3124;291,63
3129;14
3153;0
3155;217
3158;1723,72
3335;163,15
3355;196,71
3375;10
3440;1060,27
3524;3794,48
3568;976,418
3580;222,57
3609;1150,706262
3626;190,98
3628;0
3649;51,5
3655;1105,5
3657;150,36
3767;210,08
3788;64,11
3789;20,67
3792;0,134910124
3797;8,691649596
3811;
3842;979,24
3966;5831,06
4023;3,36
4100;679,14
4103;1518,2149
4119;41,208608
4129;3057,68
4139;172,25
4144;1,060341181
4191;350,87
4200;39,983016
4202;75,3816
4206;5781,4
4305;5,0184
4306;138,456
4411;1531,043989
4412;24,61872
4413;10,33514867
4414;621,681376
4417;186,75
4422;3000,088518
4433;9,0756
4434;286,265472
4435;571,66
4445;137
4471;476,25
4493;2442,52
4646;4389
4689;0
4691;59
4746;277,9
4874;146211
4928;309
4948;490,2
4958;1380,28
4982;202,16
5047;186,74
5078;1272,98
5079;88,74
5100;0
5281;9550
5312;9,02983996
5361;79
5384;14391
5390;137
5452;408,96
5515;156,6044444
5593;4,302185746
5703;1024,77
5737;157,8
6024;101,21
6038;434,331344
6243;415,52224
6244;92,458952
6245;31,22448
6476;19,4308
Gesamtergebnis;2024958,85
